Time (s),LA Concentration (mM),Response (M ohm),distance between electrode (mm)
20,1.11,1.29E+07,1
40,1.11,1.20E+07,1
60,1.11,1.19E+07,1
80,1.11,1.19E+07,1
100,1.11,1.19E+07,1
120,1.11,1.19E+07,1
20,1.11,18300,3
40,1.11,15500,3
60,1.11,15500,3
80,1.11,15600,3
100,1.11,15600,3
120,1.11,15600,3
20,1.11,35400,5
40,1.11,26600,5
60,1.11,25000,5
80,1.11,24300,5
100,1.11,24200,5
120,1.11,23800,5
20,1.11,108000,7
40,1.11,49200,7
60,1.11,48800,7
80,1.11,48700,7
100,1.11,48500,7
120,1.11,55700,7
